stddev_2_a,min_2_a,min_q_2_a,min_q_7_a,min_q_12_a,min_q_17_a,covmat_104_a,logm_9_a,entropy0_a,entropy3_a,stddev_2_b,min_2_b,min_q_2_b,min_q_7_b,min_q_12_b,min_q_17_b,covmat_104_b,logm_9_b,entropy0_b,entropy3_b,label
203.0,-727.0,-677.0,-676.0,-698.0,-727.0,88000.0,10.6,0.0,0.0,210.0,-727.0,-702.0,-727.0,-700.0,-658.0,96800.0,10.4,0.0,0.0,NEGATIVE
10.3,-0.705,11.1,-0.705,16.3,12.0,679.0,6.32,4.98,4.98,9.15,12.7,16.0,12.7,17.7,13.5,908.0,4.16,4.97,4.98,NEUTRAL
167.0,-844.0,-707.0,-844.0,-826.0,-822.0,121000.0,10.7,0.0,0.0,168.0,-814.0,-814.0,-803.0,-610.0,-743.0,116000.0,9.78,0.0,0.0,POSITIVE
257.0,-819.0,-671.0,-813.0,-819.0,-712.0,120000.0,10.6,0.0,0.0,253.0,-820.0,-820.0,-718.0,-584.0,-552.0,103000.0,9.74,0.0,0.0,POSITIVE
20.9,-9.64,12.2,-5.48,20.1,-9.64,4970.0,5.76,0.0,0.0,75.5,-36.0,19.4,-12.3,-36.0,7.6,2190.0,3.83,0.0,0.0,NEUTRAL
8.98,7.39,11.6,8.52,19.6,7.39,1590.0,3.94,4.95,4.97,8.6,7.47,19.6,7.47,14.3,18.7,355.0,5.89,4.97,4.99,NEUTRAL
46.4,-57.5,6.13,3.98,-47.5,-57.5,506.0,1.86,0.0,0.0,53.3,-69.6,-47.3,-57.6,-69.6,-27.1,938.0,3.63,0.0,0.0,POSITIVE
342.0,-580.0,-547.0,-580.0,-568.0,-489.0,62000.0,9.49,0.0,0.0,342.0,-677.0,-573.0,-477.0,-677.0,-582.0,66700.0,9.68,0.0,0.0,NEGATIVE
12.5,8.62,18.8,8.62,19.1,11.2,960.0,5.12,0.0,0.0,13.7,-4.53,19.3,11.6,-4.53,1.06,1270.0,4.01,0.0,0.0,NEUTRAL
158.0,-614.0,-604.0,-590.0,-614.0,-613.0,71100.0,10.0,0.0,0.0,160.0,-618.0,-618.0,-614.0,-558.0,-610.0,69100.0,10.0,0.0,0.0,NEGATIVE
11.5,-6.05,-3.13,-6.05,1.72,0.551,433.0,3.26,0.0,0.0,10.6,0.188,2.05,0.818,6.73,0.188,880.0,3.6,0.0,0.0,POSITIVE
153.0,-467.0,-467.0,-397.0,-429.0,-409.0,36600.0,8.8,0.0,0.0,158.0,-507.0,-431.0,-408.0,-507.0,-481.0,39900.0,9.53,0.0,0.0,NEGATIVE
12.7,4.69,10.8,6.77,5.31,4.69,691.0,5.41,4.98,4.98,13.7,2.1,4.77,4.03,10.4,2.1,479.0,6.56,4.98,4.98,NEUTRAL
